G1GMP-2403-MONOMER	G1GMP-2403	Q8EDX4	uridine kinase Udk	Udk
G1GMP-706-MONOMER	G1GMP-706	Q8EIT1	ABC-type Ni2+/Co2+ export system bifunctional ATPase and permease components AtmA	AtmA
G1GMP-1369-MONOMER	G1GMP-1369	Q8EGW1	diguanylate cyclase	
G1GMP-580-MONOMER	G1GMP-580	Q8EJ61	transcpriptional activator SspA	SspA
G1GMP-4506-MONOMER	G1GMP-4506	Q8CM94	ISSod6, transposase	
G1GMP-1028-MONOMER	G1GMP-1028	Q8EHU6	cytoplasmic leucyl metal-dependent aminopeptidase	
G1GMP-1153-MONOMER	G1GMP-1153	Q8EHH6	putative arginine uptake porter ArgW	ArgW
G1GMP-4349-MONOMER	G1GMP-4349	Q8E8F8	malate synthase domain protein	
G1GMP-3320-MONOMER	G1GMP-3320	Q8EBF8	predicted non-catalytic member of peptidase subfamily M16B	
G1GMP-3439-MONOMER	G1GMP-3439	Q8EB40	dihydroorotase homodimeric type PyrC	PyrC
G1GMP-2404-MONOMER	G1GMP-2404	Q8EDX3	scaffold protein for [4Fe-4S] cluster assembly ApbC	ApbC
G1GMP-1457-MONOMER	G1GMP-1457	Q8EGL7	succinylglutamate desuccinylase/aspartoacylase family protein	
G1GMP-840-MONOMER	G1GMP-840	Q8EID9	Na-translocating NADH-quinone reductase subunit B NqrB	NqrB
G1GMP-3568-MONOMER	G1GMP-3568	Q8EAQ3	thermoregulated outer membrane M13 family zinc endopeptidase PepO	PepO
G1GMP-3288-MONOMER	G1GMP-3288	Q8EBJ0	type IV minor pilin protein PilX	PilX
G1GMP-3696-MONOMER	G1GMP-3696	Q8EAC0	protein of unknown function DUF3293	
G1GMP-242-MONOMER	G1GMP-242	Q8EK48	30S ribosomal protein S13 RpsM	RpsM
G1GMP-4188-MONOMER	G1GMP-4188	Q8E8X2	tRNA (cytidine34-2'-O)-methyltransferase TrmL	TrmL
G1GMP-3009-MONOMER	G1GMP-3009	Q8ECB3	two component signal transduction system controlling flagella biosynthesis Sigma54-dependent response regulator FlrC	FlrC
G1GMP-970-MONOMER	G1GMP-970	Q8EI05	inner membrane protein LrgB	LrgB
G1GMP-707-MONOMER	G1GMP-707	Q8EIT0	hypothetical protein	
G1GMP-1808-MONOMER	G1GMP-1808	Q8EFL2	solute-binding protein	
G1GMP-3131-MONOMER	G1GMP-3131	Q8EBY0	glutaminase A GlsA	GlsA
G1GMP-1493-MONOMER	G1GMP-1493	Q8EGI1	phosphotransferase system (PTS) glucose-specific IIBC component PtsG	PtsG
G1GMP-2589-MONOMER	G1GMP-2589	Q8EDE9	DNA internalization-related competance protein ComEC/Rec2 family	
G1GMP-132-MONOMER	G1GMP-132	Q8EKF5	molybdenum cofactor biosynthesis protein MoeA	MoeA
G1GMP-47-MONOMER	G1GMP-47	Q8EKP7	protein of unknown function UPF0153	
G1GMP-3252-MONOMER	G1GMP-3252	Q8EBM5	multidrug efflux pump EmrD3	
G1GMP-2888-MONOMER	G1GMP-2888	Q8ECL9	thioredoxin	
G1GMP-2050-MONOMER	G1GMP-2050	Q8EEX0	protein of unknown function DUF3334	
G1GMP-2405-MONOMER	G1GMP-2405	Q8EDX2	methionyl-tRNA synthetase MetG	MetG
G1GMP-1271-MONOMER	G1GMP-1271	Q8EH57	inner membrane protein of unknown function DUF486	
G1GMP-581-MONOMER	G1GMP-581	Q8EJ60	stringent starvation protein b SspB	SspB
G1GMP-3868-MONOMER	G1GMP-3868	Q8E9S1	PAP2 family protein	
G1GMP-3937-MONOMER	G1GMP-3937	Q8E9K9	phage P1-related protein in restrction modification operon RflB	RflB
G1GMP-1981-MONOMER	G1GMP-1981	Q8EF39	glyoxalase family protein	
G1GMP-315-MONOMER	G1GMP-315	Q8EJX6	uncharacterized protein UPF0061 family	
G1GMP-166-MONOMER	G1GMP-166	Q8EKB5	phytanoyl-CoA dioxygenase PhyH	PhyH
G1GMP-387-MONOMER	G1GMP-387	Q8EJR0	transcriptional regulator LysR family	
G1GMP-1154-MONOMER	G1GMP-1154	Q8EHH4	inner membrane protein of unknown function DUF998	
G1GMP-2666-MONOMER	G1GMP-2666	Q8ED77	two component signal transduction system histidine kinase with Cache_1 and PAS sensory domains	
G1GMP-1755-MONOMER	G1GMP-1755	Q8EFR6	quaternary ammonium compound efflux pump SugE	SugE
G1GMP-1580-MONOMER	G1GMP-1580	Q8EG87	membrane protein of unknown function DedA family	
G1GMP-1844-MONOMER	G1GMP-1844	Q8EFH1	bifunctional UDP-sugar hydrolase/5'-nucleotidase UshA	UshA
G1GMP-1883-MONOMER	G1GMP-1883	Q8EFD6	cation efflux protein CDF family	
G1GMP-3440-MONOMER	G1GMP-3440	Q8EB39	predicted periplasmic protein	
G1GMP-106-MONOMER	G1GMP-106	Q8EKI4	SirA family protein YedF	YedF
G1GMP-4189-MONOMER	G1GMP-4189	Q8E8X1	protein of unknown function DUF1568	
G1GMP-2406-MONOMER	G1GMP-2406	Q8EDX1	transport protein AEC family	
G1GMP-3569-MONOMER	G1GMP-3569	Q8EAQ1	(p)ppGpp synthetase RelV	RelV
G1GMP-4507-MONOMER	G1GMP-4507	Q8E842	hypothetical protein	
G1GMP-2728-MONOMER	G1GMP-2728	Q8ED17	Lambda phage uncharacterized protein	
G1GMP-3697-MONOMER	G1GMP-3697	Q8EAB9	two component signal transduction system controlling aerobic respiration response regulator ArcA	ArcA
G1GMP-708-MONOMER	G1GMP-708	Q8EIS9	3-deoxy-7-phosphoheptulonate synthase	AroG
G1GMP-3010-MONOMER	G1GMP-3010	Q8ECB2	two component signal transduction system controlling flagellar biosynthesis histidine kinase with PAS sensory domain FlrB	FlrB
G1GMP-1774-MONOMER	G1GMP-1774	Q8EFP5	RND superfamily efflux pump MFP component	
G1GMP-1370-MONOMER	G1GMP-1370	Q8EGW0	glutathione-gated K(+)-efflux system KefC	KefC
G1GMP-3132-MONOMER	G1GMP-3132	Q8EBX9	protein of unknown function DUF469 YggL	YggL
G1GMP-4350-MONOMER	G1GMP-4350	Q8CMJ3	ISSod4 transposase TnpA_ISSod4	TnpA
G1GMP-2590-MONOMER	G1GMP-2590	Q8EDE8	membrane protein of unknown function DUF2062	
G1GMP-841-MONOMER	G1GMP-841	Q8EID8	Na-translocating NADH-quinone reductase subunit C NqrC	NqrC
G1GMP-2788-MONOMER	G1GMP-2788	Q8ECV9	Lambda phage integrase Int	Int
G1GMP-2889-MONOMER	G1GMP-2889	K4PU11	23S rRNA pseudouridine synthase RluA family	
G1GMP-1666-MONOMER	G1GMP-1666	Q8EG00	late competence development protein ComFB	
G1GMP-2407-MONOMER	G1GMP-2407	Q8EDX0	protein YbgI	YbgI
G1GMP-582-MONOMER	G1GMP-582	Q8EJ59	para-aminobenzoate synthase glutamine amidotransferase subunit PabA	PabA
G1GMP-4191-MONOMER	G1GMP-4191	Q7CCT0	ISSod10 transposase TnpA ISSod10	TnpA
G1GMP-1155-MONOMER	G1GMP-1155	Q8EHH3	peptidase U32 family YhbV	
G1GMP-2122-MONOMER	G1GMP-2122	Q8EEQ4	chemotaxis signal transduction system methyl accepting sensory transducer	
G1GMP-1029-MONOMER	G1GMP-1029	Q8EHU5	hypothetical protein	
G1GMP-4351-MONOMER	G1GMP-4351	Q8E8F7	putative sulfate exporter (PSE) family protein	
G1GMP-3441-MONOMER	G1GMP-3441	Q8EB38	steroid delta-isomerase domain protein	
G1GMP-243-MONOMER	G1GMP-243	P59375	30S ribosomal protein S11 RpsK	RpsK
G1GMP-1618-MONOMER	G1GMP-1618	Q8CME4	ISSod4 transposase TnpA_ISSod4	TnpA
G1GMP-1272-MONOMER	G1GMP-1272	Q8EH56	acteyltransferase GNAT family	
G1GMP-1542-MONOMER	G1GMP-1542	Q8EGC8	homoserine O-succinyltransferase MetA	MetA
G1GMP-971-MONOMER	G1GMP-971	Q8EI04	acteyltransferase GNAT family	
G1GMP-2408-MONOMER	G1GMP-2408	Q8EDW9	outer membrane protein SlyB-like protein	
G1GMP-709-MONOMER	G1GMP-709	Q8EIS8	TPR domain lipoprotein	
G1GMP-1494-MONOMER	G1GMP-1494	Q8EGI0	formyltetrahydrofolate deformylase PurU	PurU
G1GMP-3570-MONOMER	G1GMP-3570	Q8EAQ0	cell wall assembly/cell proliferation coordinating protein KNR4-like protein	
G1GMP-3698-MONOMER	G1GMP-3698	Q8EAB7	periplasmic dipeptidylpeptidase IV Dpp4	
G1GMP-2051-MONOMER	G1GMP-2051	Q8EEW8	transcriptional repressor of maltodextrose utilization MalR	MalR
G1GMP-3011-MONOMER	G1GMP-3011	Q8ECB1	Sigma54-dependent transcriptional regulator for flagellar biosynthesis FlrA	FlrA
G1GMP-4283-MONOMER	G1GMP-4283	Q8E8M7	predicted lipoprotein	
G1GMP-48-MONOMER	G1GMP-48	Q8EKP6	nitrite-sensitive transcriptional repressor NsrR	NsrR
G1GMP-503-MONOMER	G1GMP-503	Q8EJD5	arsenite-sensing transcriptional repressor ArsR	ArsR
G1GMP-3133-MONOMER	G1GMP-3133	Q8EBX8	tRNA (guanine-N(7)-)-methyltransferase TrmB	TrmB
G1GMP-2591-MONOMER	G1GMP-2591	Q8EDE7	heme-copper-containing inner membrane protein NnrS	NnrS
G1GMP-3253-MONOMER	G1GMP-3253	Q8EBM3	transcriptional regulator AraC family	
G1GMP-2890-MONOMER	G1GMP-2890	Q8ECL8	hypothetical protein	
G1GMP-2409-MONOMER	G1GMP-2409	Q8EDW8	leucyl/phenylalanyl-tRNA--protein transferase Aat	Aat
G1GMP-388-MONOMER	G1GMP-388	Q8EJQ9	predicted outer membrane protein	
G1GMP-1706-MONOMER	G1GMP-1706	Q8EFW1	outer membrane protein required for motility and nitrate resistance	
G1GMP-3869-MONOMER	G1GMP-3869	Q8E9S0	predicted membrane protein	
G1GMP-4192-MONOMER	G1GMP-4192	Q8E8W8	hypothetical protein	
G1GMP-3938-MONOMER	G1GMP-3938	Q8E9K8	phage P1-related protein in restrction modification operon RflA	RflA
G1GMP-1156-MONOMER	G1GMP-1156	Q8EHH2	peptidase U32 family YhbU	
G1GMP-316-MONOMER	G1GMP-316	Q8EJX5	protein of unknown function DUF3630	
G1GMP-4508-MONOMER	G1GMP-4508	Q8E841	hypothetical protein	
G1GMP-583-MONOMER	G1GMP-583	Q8EJ58	peptidase S9 family	
G1GMP-3442-MONOMER	G1GMP-3442	Q8EB37	putative periplasmic protein	
G1GMP-1273-MONOMER	G1GMP-1273	Q8EH55	thermostable carboxypeptidase 1	
G1GMP-2667-MONOMER	G1GMP-2667	Q8ED76	protein of unknown function DUF3478	
G1GMP-4352-MONOMER	G1GMP-4352	Q8E8F6	hypothetical protein	
G1GMP-1982-MONOMER	G1GMP-1982	Q8EF38	O-glycosyl hydrolase family 13	
G1GMP-2410-MONOMER	G1GMP-2410	Q8EDW7	leucyl-tRNA-protein transferase Bpt	Bpt
G1GMP-710-MONOMER	G1GMP-710	Q8EIS7	predicted periplasmic protein	
G1GMP-3571-MONOMER	G1GMP-3571	Q8EAP9	cytoplasmic protein of unknown function	
G1GMP-2729-MONOMER	G1GMP-2729	Q8ED16	Lambda phage minor tail protein G	
G1GMP-3699-MONOMER	G1GMP-3699	Q8EAB6	fructose-16-bisphosphatase Fbp	Fbp
G1GMP-3012-MONOMER	G1GMP-3012	Q8ECB0	chaperone for FliC flagellin FliS	FliS
G1GMP-842-MONOMER	G1GMP-842	Q8EID7	Na-translocating NADH-quinone reductase subunit D NqrD	NqrD
G1GMP-2592-MONOMER	G1GMP-2592	Q8EDE6	phospahte starvation inducible E-like protein	
G1GMP-1157-MONOMER	G1GMP-1157	Q8EHH1	SCP-2 sterol transfer family protein	
G1GMP-3134-MONOMER	G1GMP-3134	Q8EBX7	A/G-specific adenine glycosylase	MutY
G1GMP-133-MONOMER	G1GMP-133	Q8EKF4	ferritin Ftn	Ftn
G1GMP-244-MONOMER	G1GMP-244	P59131	30S ribosomal protein S4 RpsD	RpsD
G1GMP-2789-MONOMER	G1GMP-2789	Q7ZAJ6	segregation and condensation protein ScpB	ScpB
G1GMP-1030-MONOMER	G1GMP-1030	Q8EHU3	hypoxanthine/guanine permease AzgA family	
G1GMP-4193-MONOMER	G1GMP-4193	Q8E8W6	serine peptidase family S9	
G1GMP-2891-MONOMER	G1GMP-2891	Q8ECL7	sugar oxidoreductase AgaO	AgaO
G1GMP-4353-MONOMER	G1GMP-4353	Q8E8F5	paraquat-inducible membrane protein PqiA family	
G1GMP-2411-MONOMER	G1GMP-2411	Q8EDW6	translation initiation factor IF-1 InfA	InfA
G1GMP-1274-MONOMER	G1GMP-1274	Q8EH54	integral membrane protein of unknown function DUF1449	
G1GMP-3321-MONOMER	G1GMP-3321	Q8EBF7	membrane protein	
